Parcel_ID,Barycenter_0,Barycenter_1,Barycenter_2
27,7.022057009938484e-13,-2.903872773769654e-14,4.9332508448666596e-14
28,-4.077567912948628e-13,-2.6600566867052813e-13,-1.2433870087039233e-13
29,3.584924949488292e-13,8.259769822837335e-13,2.727889664337234e-13
30,4.240519047016278e-13,9.91073620477409e-14,-5.939758314828699e-13
31,1.0724458358405779e-13,4.24439883592265e-13,2.595223506995396e-13
32,2.4745835010738423e-13,-4.648079072630469e-13,-1.806587203067135e-13
33,-1.67877563702253e-13,2.784143286286659e-13,-1.338083553424372e-13
34,-3.770613451100265e-13,-5.968558980384843e-14,-3.486493525033593e-13
35,-1.6825651982799172e-13,1.3645655517911207e-13,2.249243248744331e-14
36,-2.391213153411324e-13,1.6227095640606706e-15,-1.9845838735523014e-13
37,6.442254137558241e-15,-2.598550531568158e-13,5.188664062121965e-13
38,-4.1855704087841635e-13,3.5478955223446797e-13,-3.132703972773419e-14
39,3.0847028635131817e-13,2.9372889306008196e-13,-4.009667281103937e-13
40,1.5196140642122676e-13,-4.106826851028921e-15,-2.49043982317712e-13
41,-8.526512829121202e-14,4.616975674904379e-13,3.576663023143357e-13
42,-6.972792713592449e-14,2.8215436721053046e-13,-5.068591555857598e-13
43,-3.3651303965598344e-13,-2.184883637291029e-13,-4.4085860887814017e-13
44,1.7697251071998228e-13,7.523181372403447e-14,1.0376459211952758e-13
45,6.411937647499144e-13,-7.748126420294822e-13,1.5952307700915786e-13
46,-1.5575096767861397e-13,-6.883891654905635e-13,7.39187360558586e-15
47,2.5465851649641993e-13,2.3807698276206173e-13,-4.136714790612946e-13
48,-8.844835974741727e-13,-4.704220165187353e-13,3.7311830662171516e-13
49,1.7810937909719846e-14,3.855236280873277e-13,5.583345092306621e-13
50,7.18879770526352e-13,-3.0004903911267995e-13,-2.573549350834069e-13
51,-1.4665602066088468e-13,-3.90167813401647e-13,6.703542472335261e-13
52,9.019155792581538e-14,-2.9298429548329264e-13,-2.2561874767046581e-13
53,3.069544618483633e-14,1.5959804906222935e-13,-3.2018708098316994e-13
54,5.0401164723249776e-14,2.9408398898531126e-13,2.2568681764458981e-13
55,3.259022681352993e-13,-4.688285627165449e-13,-2.110096609226965e-14
56,2.53142691993465e-13,5.272382126845928e-13,-7.940140010865379e-13
57,-6.339935983608788e-13,-3.9175942912974965e-13,7.767423695265689e-15
58,7.984605569314833e-13,-2.7064448148481903e-13,4.3223521198291013e-13
59,-5.854872142663226e-13,8.570553676166514e-14,-6.547328336058526e-13
60,1.8000415972589204e-13,-4.4283730122038944e-15,4.73554803052756e-14
61,-2.053942201503863e-13,2.000256750357544e-13,-2.831691168698985e-13
62,-2.3646862246096135e-13,-3.977704361177254e-13,-4.131124001562065e-13
63,-5.426651720578472e-13,3.589303998052384e-13,5.806690578105019e-13
64,-2.880066555614273e-14,-6.434282991465119e-13,-1.9095071515545865e-13
65,-2.773958840407431e-13,3.5373906702380213e-13,-2.9673685730813304e-13
66,-6.14666835948204e-13,6.542008764774758e-13,2.47670340415347e-13
67,-1.0838145196127395e-13,-6.709834133659119e-14,-2.7090663934359336e-13
68,5.684341886080802e-14,5.937553479188038e-14,4.4978522248639266e-13
69,7.215324634065231e-13,-2.64885925424787e-13,4.341536306802748e-13
70,-2.986174270821114e-13,1.6698118671252488e-13,3.509729226823852e-13
71,2.451846133529519e-13,4.63516219377395e-13,5.334191918015986e-13
72,-3.7440865222985547e-13,-2.992012243568982e-13,2.7281683085473356e-13
73,2.2320515806010614e-13,-3.979093456845953e-13,3.6162878109393554e-13
74,5.703289692367737e-13,-1.661573023419917e-13,-6.322474600056427e-13
75,6.976582274849837e-13,-3.798346149392962e-13,3.178225492568946e-13
76,-1.7469877396554996e-13,-3.575451046344824e-13,7.684503464808593e-14
77,8.458300726488233e-13,-3.224399871683228e-13,-1.1825584282853404e-13
78,-9.23137122299522e-13,-4.455734546758727e-13,3.7010118426729197e-13
79,-3.941143707682689e-13,1.4757709457761071e-13,-3.398004070231641e-13
80,2.4556356947869064e-13,-3.6388735646108183e-13,3.1426785293350376e-13
81,-5.267490147768209e-14,-1.3093475510166692e-13,4.821675334131301e-13
82,-4.896113144544264e-13,-2.0068023561657585e-13,4.2857664084294816e-13
83,-2.0501526402464756e-13,-5.233936740801762e-14,5.331833739950931e-14
84,-2.4253192047278088e-14,-5.528289696866343e-13,-5.144189052782482e-13
85,-4.824111480653907e-13,-3.021714210180935e-13,1.8823637684034382e-13
86,-6.790893773237864e-13,-1.5502012372183215e-13,-6.664298742483273e-14
87,2.4556356947869064e-13,4.3357909855027787e-13,6.318866023017715e-13
88,1.1217101321866115e-13,-3.5799885473240644e-13,1.6568995334003404e-13
89,-5.294017076569919e-13,-2.596029916608204e-13,1.5345054387307325e-14
90,7.048583938740194e-14,6.67515425650183e-13,9.58674157195289e-14
91,6.044350205532585e-14,3.176637619617396e-13,2.3790507101866014e-13
92,-2.825117917382158e-13,-3.8222393580849605e-14,-3.0347998770675883e-13
93,5.350860495430728e-13,-6.790683242056899e-13,-6.733676076722005e-13
94,3.979039320256561e-14,1.3391362093292025e-13,1.1545529964173006e-13
95,4.009355810315659e-13,-3.3618822011963597e-14,-2.0232258953488028e-13
96,2.7625901566352697e-13,3.349742481151048e-14,4.138699519548059e-13
97,6.067087573076909e-13,5.4892909390093983e-14,2.9012290405581246e-14
98,-1.2164491636212916e-13,2.8042753304665275e-14,1.4529074037226434e-13
99,-1.0838145196127395e-13,-1.5637584214126822e-13,3.0642293897070385e-13
100,-5.79423916254503e-13,5.5675824311234654e-14,-4.741499045242866e-13
101,-2.288894999461869e-13,5.409551325404512e-13,-3.000534713480687e-13
102,2.3343697345505157e-13,2.3577728358292446e-13,-4.961268334429605e-13
103,-1.6674069532503683e-13,1.5585472947494716e-13,3.0867150199330337e-13
104,5.078012084898849e-13,-4.588911537396507e-13,-4.626653047607226e-13
105,-5.456968210637569e-14,3.233266510773123e-13,-1.1878907174444873e-13
106,5.328123127886404e-13,-8.78296918398159e-14,-5.425024438391473e-13
107,-1.4779288903810084e-14,-4.109779183636419e-13,4.662160961075567e-13
108,-6.461201943845178e-13,-7.592023148842103e-14,5.646446273506929e-14
109,-1.4059272264906515e-13,3.5492816233221116e-13,5.45788689215451e-13
110,-9.015366231324151e-13,-4.2933360570411124e-13,5.176144753280443e-13
111,6.476360188874726e-13,-2.3492121828086154e-13,5.896057304939689e-13
112,-2.448056572272132e-13,-3.215009634177909e-13,-4.987133668995134e-13
113,-1.0015810403274373e-12,6.189079193979608e-14,-1.6958955372911974e-13
114,9.034314037611087e-13,-1.8895493865230767e-13,-4.81203832716082e-13
115,-4.414838864856089e-13,3.7940752935908535e-13,2.621151481422688e-13
116,1.1709744285326451e-13,3.4304476954545224e-13,6.708772731484377e-15
117,-2.5769016550232966e-13,3.9977574561642623e-13,-1.475513973893458e-13
118,1.6636173919929813e-13,3.9977574561642623e-13,4.884140629582739e-13
119,6.002665031701327e-13,3.925124198731007e-13,-8.926123770722257e-14
120,-1.451401961579298e-13,4.87294268428481e-13,-5.255733895231088e-13
121,-2.4745835010738423e-13,-2.7413808379850543e-13,1.5611269852591002e-13
122,2.095627375335122e-13,5.827282288142979e-13,-4.75317089391562e-13
123,-4.111673964265113e-13,1.6097514855486928e-14,-3.129408702114821e-13
124,-4.2480981695310525e-13,4.1624745692290074e-13,-3.601879544984005e-13
